filename,color,light_energy,layout,view,seed
img_0001_color-red_light-600_layout-A_view-v1.png,red,600,A,v1,7
img_0002_color-red_light-600_layout-A_view-v2.png,red,600,A,v2,7
img_0003_color-red_light-600_layout-A_view-v3.png,red,600,A,v3,7
img_0004_color-red_light-600_layout-A_view-v4.png,red,600,A,v4,7
img_0005_color-red_light-600_layout-A_view-top.png,red,600,A,top,7
img_0006_color-red_light-600_layout-B_view-v1.png,red,600,B,v1,7
img_0007_color-red_light-600_layout-B_view-v2.png,red,600,B,v2,7
img_0008_color-red_light-600_layout-B_view-v3.png,red,600,B,v3,7
img_0009_color-red_light-600_layout-B_view-v4.png,red,600,B,v4,7
img_0010_color-red_light-600_layout-B_view-top.png,red,600,B,top,7
img_0011_color-red_light-1200_layout-A_view-v1.png,red,1200,A,v1,7
img_0012_color-red_light-1200_layout-A_view-v2.png,red,1200,A,v2,7
img_0013_color-red_light-1200_layout-A_view-v3.png,red,1200,A,v3,7
img_0014_color-red_light-1200_layout-A_view-v4.png,red,1200,A,v4,7
img_0015_color-red_light-1200_layout-A_view-top.png,red,1200,A,top,7
img_0016_color-red_light-1200_layout-B_view-v1.png,red,1200,B,v1,7
img_0017_color-red_light-1200_layout-B_view-v2.png,red,1200,B,v2,7
img_0018_color-red_light-1200_layout-B_view-v3.png,red,1200,B,v3,7
img_0019_color-red_light-1200_layout-B_view-v4.png,red,1200,B,v4,7
img_0020_color-red_light-1200_layout-B_view-top.png,red,1200,B,top,7
img_0021_color-blue_light-600_layout-A_view-v1.png,blue,600,A,v1,7
img_0022_color-blue_light-600_layout-A_view-v2.png,blue,600,A,v2,7
img_0023_color-blue_light-600_layout-A_view-v3.png,blue,600,A,v3,7
img_0024_color-blue_light-600_layout-A_view-v4.png,blue,600,A,v4,7
img_0025_color-blue_light-600_layout-A_view-top.png,blue,600,A,top,7
img_0026_color-blue_light-600_layout-B_view-v1.png,blue,600,B,v1,7
img_0027_color-blue_light-600_layout-B_view-v2.png,blue,600,B,v2,7
img_0028_color-blue_light-600_layout-B_view-v3.png,blue,600,B,v3,7
img_0029_color-blue_light-600_layout-B_view-v4.png,blue,600,B,v4,7
img_0030_color-blue_light-600_layout-B_view-top.png,blue,600,B,top,7
img_0031_color-blue_light-1200_layout-A_view-v1.png,blue,1200,A,v1,7
img_0032_color-blue_light-1200_layout-A_view-v2.png,blue,1200,A,v2,7
img_0033_color-blue_light-1200_layout-A_view-v3.png,blue,1200,A,v3,7
img_0034_color-blue_light-1200_layout-A_view-v4.png,blue,1200,A,v4,7
img_0035_color-blue_light-1200_layout-A_view-top.png,blue,1200,A,top,7
img_0036_color-blue_light-1200_layout-B_view-v1.png,blue,1200,B,v1,7
img_0037_color-blue_light-1200_layout-B_view-v2.png,blue,1200,B,v2,7
img_0038_color-blue_light-1200_layout-B_view-v3.png,blue,1200,B,v3,7
img_0039_color-blue_light-1200_layout-B_view-v4.png,blue,1200,B,v4,7
img_0040_color-blue_light-1200_layout-B_view-top.png,blue,1200,B,top,7
img_0041_color-green_light-600_layout-A_view-v1.png,green,600,A,v1,7
img_0042_color-green_light-600_layout-A_view-v2.png,green,600,A,v2,7
img_0043_color-green_light-600_layout-A_view-v3.png,green,600,A,v3,7
img_0044_color-green_light-600_layout-A_view-v4.png,green,600,A,v4,7
img_0045_color-green_light-600_layout-A_view-top.png,green,600,A,top,7
img_0046_color-green_light-600_layout-B_view-v1.png,green,600,B,v1,7
img_0047_color-green_light-600_layout-B_view-v2.png,green,600,B,v2,7
img_0048_color-green_light-600_layout-B_view-v3.png,green,600,B,v3,7
img_0049_color-green_light-600_layout-B_view-v4.png,green,600,B,v4,7
img_0050_color-green_light-600_layout-B_view-top.png,green,600,B,top,7
img_0051_color-green_light-1200_layout-A_view-v1.png,green,1200,A,v1,7
img_0052_color-green_light-1200_layout-A_view-v2.png,green,1200,A,v2,7
img_0053_color-green_light-1200_layout-A_view-v3.png,green,1200,A,v3,7
img_0054_color-green_light-1200_layout-A_view-v4.png,green,1200,A,v4,7
img_0055_color-green_light-1200_layout-A_view-top.png,green,1200,A,top,7
img_0056_color-green_light-1200_layout-B_view-v1.png,green,1200,B,v1,7
img_0057_color-green_light-1200_layout-B_view-v2.png,green,1200,B,v2,7
img_0058_color-green_light-1200_layout-B_view-v3.png,green,1200,B,v3,7
img_0059_color-green_light-1200_layout-B_view-v4.png,green,1200,B,v4,7
img_0060_color-green_light-1200_layout-B_view-top.png,green,1200,B,top,7
